ID,Category,Issue,Symptoms,Solution Steps,Severity,Estimated Resolution Time,Common Causes,Keywords,Urdu Solution,Documentation Link
1,Cloud Computing,AWS instance not starting - Variant 30,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,18 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
2,Cloud Computing,AWS instance not starting - Variant 24,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,9 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
3,Cloud Computing,AWS instance not starting - Variant 25,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,16 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
4,Cloud Computing,AWS instance not starting - Variant 5,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",High,33 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
5,Cloud Computing,AWS instance not starting - Variant 48,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,7 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
6,Cloud Computing,AWS instance not starting - Variant 14,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,14 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
7,Cloud Computing,AWS instance not starting - Variant 48,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,46 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
8,Cloud Computing,AWS instance not starting - Variant 34,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Low,48 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
9,Cloud Computing,AWS instance not starting - Variant 39,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,7 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
10,Cloud Computing,AWS instance not starting - Variant 17,Instance stuck in 'pending' state,"Check instance status in AWS console, review security group settings, restart instance",Medium,32 hours,"Typical configuration error, outdated software, or user action","cloud computing, aws, instance stuck in 'pending' state","حل: Check instance status in AWS console, review security group settings, restart instance",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/TroubleshootingInstances.html
