Category,question,answer
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, Who are you?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, You are?, I'm Nory
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Personal, Who are you?, I'm Nory your IT assistant
Adobe Acrobat for Faculty & Staff,How do I activate my license for Acrobat Pro DC?,VisitMy CU Accountin Carrefour (under Apps & software > Adobe Acrobat) and agree to the terms and conditions page.
Adobe Acrobat for Faculty & Staff,I’m having login issues. Where can I go for help?,First make sure you have an active license and login with the correct credentials:
Adobe Acrobat for Faculty & Staff,How can I re-activate my Adobe Acrobat Pro DC license after a leave?,Contact theIT Service Deskand open a ticket.
Adobe Acrobat for Faculty & Staff,Where can I download the software for my university owned computer?,Adobe Acrobatpage in Carrefour.
Adobe Acrobat for Faculty & Staff,I don’t have admin rights and need help installing the software. Who can I contact for help?,Please contact theIT Service Deskand open a ticket so an IT representative may assist you.
Adobe Acrobat for Faculty & Staff,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Acrobat for Faculty & Staff,Do you offer Adobe Acrobat Pro DC licenses for students?,"No, these licenses are only available for active employees.  Students with a Creative Cloud license can utilize the Adobe Acrobat Pro DC app within Creative Cloud. More details arehere."
Adobe Creative Cloud for Faculty & Staff,How can I submit a request for an employee Adobe Creative Cloud license?,Fill out thisformto request an Adobe Creative Cloud license.
Adobe Creative Cloud for Faculty & Staff,Where can I download Creative Cloud for my personal computer?,https://creativecloud.adobe.com/apps/all/desktop
Adobe Creative Cloud for Faculty & Staff,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Creative Cloud for Faculty & Staff,I'm having login issues. Where can I go for help?,First make sure you have a license and login with the correct credentials:
Adobe Creative Cloud for Faculty & Staff,Do students get Creative Cloud Licenses?,Students that require Creative Cloud as part of one of their courses may be eligible for an Adobe Creative Cloud license. Clickherefor details.
Adobe Creative Cloud for Students,How can I submit a request for a student Adobe Creative Cloud license?,Please fill out thisformto submit your request.
Adobe Creative Cloud for Students,Where can I download Creative Cloud?,https://creativecloud.adobe.com/apps/all/desktop
Adobe Creative Cloud for Students,Can I install the software on more than one computer?,"Yes, your license permits for the software to be installed on two devices. An error message will occur if you attempt to login on a third device, asking you to log out."
Adobe Creative Cloud for Students,I'm having login issues. Where can I go for help?,First make sure you have a license and login in with the correct credentials:
Adobe Creative Cloud for Students,Do you offer Creative Cloud licenses for faculty and staff?,"Yes, please consult theAdobe Creative Cloud for Faculty & Staff."
Adobe Creative Cloud for Students,Do you offer Adobe Acrobat Pro DC licenses for students?,"No, these licenses are only available for active employees.  Students with a Creative Cloud license can utilize the Adobe Acrobat Pro DC app within Creative Cloud."
Adobe site license,Can I install the software on more than one computer?,You are eligible for two instances of the product to be installed under your name. This allows you to sign into Creative Cloud from two different university owned devices (desktop and laptop) at the same time.
Adobe site license,Where can I get assistance with installing the software in a lab or classroom?,"To request installation of the software in a lab or classroom, contact theService Desk."
Adobe site license,I am getting an error message when I attempt to login.  What should I do?,"Please ensure you’ve accepted the Adobe terms and conditions. If you are still experiencing an issue, please open a ticket with theService Deskand provide your netname and the exact error message you receive."
Adobe site license,Does the Adobe site license provide work-at-home licenses for a small fee to eligible faculty and staff?,No. Creative Cloud software covered under the Adobe site license can be installed on university and personally owned computers.
Adobe site license,Who do I contact for a quote for Adobe software not covered under the agreement?,"Adobe Software that is not covered by our agreement with Adobe can be purchased through our software reseller. To obtain a quote, open a ticket with theIT Service Desk. Acrobat Pro DC and Creative Cloud software arenotavailable for purchase because they are available, at no extra cost, under our agreement with Adobe."
AV equipment consultation & implementation,"I would like to upgrade our departments meeting room, however, I don't have a budget. What are my options?",IITS has an audiovisual evergreen program that covers upgrading departmental meeting rooms over a lifecycle of 7 years. You can reach out to our TLCSS team to inquiry about when your room is scheduled to be upgraded.
Classroom and lab software installation,"If my request is to install open source software, does this guarantee the software can be installed?",No – All software needs to be tested on the computer configurations beforehand to assess the feasibility of the request.
Classroom and lab software installation,How quickly can my request be processed and the software installed?,"Each request is different and needs to be assessed individually. Sufficient lead time is required to ensure analysis, testing and installation can be fulfilled before the event."
Classroom and lab software installation,My software is not free and I do not have licenses. Can I still make a request?,Each request is different and needs to be assessed individually. The person analyzing this request will look at licensing and costs associated.
Classroom and lab software installation,Can freeware be installed on a classroom or lab computer?,"Applications or software that are listed as freeware or trial-ware are prohibited on classroom or lab workstations. This is due to licensing restrictions and lack of technical support from vendors. If you require a specific software package installed for teaching purposes, submit a request to the Service Desk using thewebform."
Classroom and lab software installation,What software is already installed in the labs?,"Each lab has its own set of software, depending on the needs of its department and users. For lab availability and a list of installed software, visit the lab's information page:"
Classroom information and support,"My classroom is not in the CC, H, or MB building. Which Service Centre should I contact?","Please contact the closest geographically located Service Centre. For example, all classrooms at the Loyola Campus are supported by the Loyola Service Centre."
Classroom information and support,What happens if the classroom problem cannot be resolved?,"Technicians always do their best to resolve problems immediately and have access to spare equipment in the case of failure. If the problem cannot be resolved, these incidents will be escalated to a higher level support team which will ensure resolution and follow-up with our clients."
